year,age,sex,people
2000,0,1,9735380
2000,0,2,9310714
2000,5,1,10552146
2000,5,2,10069564
2000,10,1,10563233
2000,10,2,10022524
2000,15,1,10237419
2000,15,2,9692669
2000,20,1,9731315
2000,20,2,9324244
2000,25,1,9659493
2000,25,2,9518507
2000,30,1,10205879
2000,30,2,10119296
2000,35,1,11475182
2000,35,2,11635647
2000,40,1,11320252
2000,40,2,11488578
2000,45,1,9925006
2000,45,2,10261253
2000,50,1,8507934
2000,50,2,8911133
2000,55,1,6459082
2000,55,2,6921268
2000,60,1,5123399
2000,60,2,5668961
2000,65,1,4453623
2000,65,2,4804784
2000,70,1,3792145
2000,70,2,5184855
2000,75,1,2912655
2000,75,2,4355644
2000,80,1,1902638
2000,80,2,3221898
2000,85,1,970357
2000,85,2,1981156
2000,90,1,336303
2000,90,2,1064581
2010,0,1,5296823
2010,0,2,5287477
2010,5,1,4991803
2010,5,2,4866139
2010,10,1,4650747
2010,10,2,4471887
2010,15,1,4566154
2010,15,2,4592269
2010,20,1,4637632
2010,20,2,4447683
2010,25,1,4257755
2010,25,2,3946153
2010,30,1,3658125
2010,30,2,3295220
2010,35,1,3427518
2010,35,2,3088990
2010,40,1,2860229
2010,40,2,2471267
2010,45,1,2363801
2010,45,2,2114930
2010,50,1,2126516
2010,50,2,1773592
2010,55,1,1508358
2010,55,2,1317651
2010,60,1,1189421
2010,60,2,1090697
2010,65,1,850159
2010,65,2,813868
2010,70,1,557936
2010,70,2,547623
2010,75,1,322679
2010,75,2,350900
2010,80,1,161715
2010,80,2,174315
2010,85,1,59699
2010,85,2,62725
2010,90,1,23929
2010,90,2,28965
2020,0,1,5934792
2020,0,2,5694244
2020,5,1,5789008
2020,5,2,5693960
2020,10,1,5401156
2020,10,2,5293057
2020,15,1,4724365
2020,15,2,4779936
2020,20,1,4549411
2020,20,2,4742632
2020,25,1,4565066
2020,25,2,4529382
2020,30,1,4110771
2020,30,2,3982426
2020,35,1,4081543
2020,35,2,3713810
2020,40,1,3321923
2020,40,2,3059757
2020,45,1,3143891
2020,45,2,2669089
2020,50,1,2546035
2020,50,2,2200491
2020,55,1,1880975
2020,55,2,1674672
2020,60,1,1587549
2020,60,2,1382877
2020,65,1,1095956
2020,65,2,989901
2020,70,1,714618
2020,70,2,690097
2020,75,1,417292
2020,75,2,439465
2020,80,1,187000
2020,80,2,211110
2020,85,1,75991
2020,85,2,92829
2020,90,1,22398
2020,90,2,32085
